Category,Amount (INR),Notes
Rent / EMI (home loan),,e.g. 35000
Car / vehicle EMI,,
Other loan EMI,,credit card EMI / personal loan
Utilities (power + water + internet),,e.g. 4500
Groceries + household,,monthly average
School / college fees,,monthly average (annual fee / 12)
Tuition / coaching / books,,
Insurance premiums (health + term),,monthly average
Mutual fund SIPs,,sum of all SIPs
PPF / NPS / EPF contributions,,monthly contribution
Domestic help / maid / cook,,
Fuel + commute,,
Dining out + entertainment,,
Subscriptions (Netflix / Spotify / etc.),,
Family support / parents,,
Discretionary buffer,,what you typically spend on impulse
